Owner/Repo,PR Number,Agent,html_url,Issue Type,Severity,Message,File Name,StartLine,EndLine,Rule
Deep-Learning-Profiling-Tools/triton-viz,86,Claude_Code,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,SECURITY_HOTSPOT,HIGH,Make sure disabling CSRF protection is safe here.,PR_triton-viz_86:triton_viz/visualizer/interface.py,13,17,csrf
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,223,223,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,295,295,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,310,310,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,340,340,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,373,373,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
mlflow/mlflow,16112,Copilot,https://github.com/mlflow/mlflow/pull/16112,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_mlflow_16112:mlflow/utils/rest_utils.py,441,441,weak-cryptography
mlflow/mlflow,16112,Copilot,https://github.com/mlflow/mlflow/pull/16112,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_mlflow_16112:tests/tracking/_model_registry/test_utils.py,143,143,encrypt-data
mlflow/mlflow,16112,Copilot,https://github.com/mlflow/mlflow/pull/16112,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_mlflow_16112:tests/tracking/_model_registry/test_utils.py,231,231,encrypt-data
mlflow/mlflow,16112,Copilot,https://github.com/mlflow/mlflow/pull/16112,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_mlflow_16112:tests/utils/test_rest_utils.py,654,654,encrypt-data
mlflow/mlflow,16112,Copilot,https://github.com/mlflow/mlflow/pull/16112,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_mlflow_16112:tests/utils/test_rest_utils.py,694,694,encrypt-data
mlflow/mlflow,16112,Copilot,https://github.com/mlflow/mlflow/pull/16112,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_mlflow_16112:tests/utils/test_rest_utils.py,726,726,encrypt-data
mlflow/mlflow,16112,Copilot,https://github.com/mlflow/mlflow/pull/16112,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_mlflow_16112:tests/utils/test_rest_utils.py,766,766,encrypt-data
Ljzd-PRO/KToolBox,278,Copilot,https://github.com/Ljzd-PRO/KToolBox/pull/278,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_KToolBox_278:ktoolbox/action/job.py,121,121,encrypt-data
gradio-app/gradio,11601,Copilot,https://github.com/gradio-app/gradio/pull/11601,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_gradio_11601:test/test_external_utils.py,122,122,encrypt-data
gradio-app/gradio,11601,Copilot,https://github.com/gradio-app/gradio/pull/11601,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_gradio_11601:test/test_external_utils.py,144,144,encrypt-data
mlflow/mlflow,16878,Copilot,https://github.com/mlflow/mlflow/pull/16878,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_mlflow_16878:tests/store/artifact/test_runs_artifact_repo.py,123,123,encrypt-data
